Homicide,Violence with injury,Violence without injury,Stalking and harassment,Death or serious injury - unlawful driving
3,5543,6039,2605,11
3,5785,7808,7689,6
15,12846,18373,12978,22
5,9930,10323,6564,8
3,3944,4112,1228,16
11,8339,9782,4369,22
14,17167,15225,8987,15
28,13645,12106,9158,19
16,10063,10872,4165,30
6,4906,4495,1418,13
10,13938,12566,11717,25
28,8339,9782,4369,41
9,7890,3886,1211,4
16,7208,9664,4972,8
7,4313,3562,1045,7
5,6750,7967,1519,4
15,11702,8981,5339,9
11,11190,10999,7342,13
11,4393,5042,2473,20
18,10105,11723,6364,24
11,8339,19895,9843,36
4,4535,4948,2778,8
7,4973,9286,2431,26
24,13708,16856,10664,37
9,8787,10115,4349,11
6,6621,8543,3246,8
2,5365,7338,4006,8
2,365,387,143,1
11,8339,9782,4369,11
19,21121,23874,7798,22
14,19625,9782,13446,11
6,7129,9899,4388,10
30,13176,15658,6147,10
18,13560,16945,3937,22
13,12075,17185,11184,2
15,14352,14560,7975,43
3,5833,6541,2465,10
3,4845,2215,1249,8
2,5636,5607,1913,2
4,3073,3738,2226,1
7,4854,6190,3683,4
12,6894,8432,3724,9
12,11749,10400,9683,20
5,2928,7717,153,0
15,5899,7989,8060,5
8,5753,8517,10473,16
14,13392,19952,14835,44
20,10441,13090,9697,2
4,5008,5756,3636,7
11,9207,10804,24188,33
27,20018,23537,19741,1
21,14696,18088,12733,16
11,11287,13306,9927,25
5,5621,5677,3260,39
26,14648,13502,17339,28
11,9207,10804,7925,42
6,9732,5209,3097,3
8,6934,13705,6802,15
10,6088,7617,3878,14
17,7289,8930,3776,5
9,13707,10078,8697,6
8,10725,11056,9605,8
3,4562,5539,3246,4
13,10134,12413,8455,25
11,9207,27352,17059,33
5,4787,6600,4019,19
12,5105,8807,3284,21
14,14713,21686,20967,37
12,8682,11357,5373,36
7,7032,10551,4457,13
8,5777,8553,5096,5
1,464,586,150,0
11,9207,10804,7925,10
10,21264,24082,10661,21
19,20728,10804,22112,14
5,7299,10551,5366,21
15,14120,17400,7790,14
15,15827,22588,9858,33
15,12954,17992,12031,3
19,15930,15219,10395,33
4,6344,7924,4581,10
8,5022,2292,2251,3
2,5788,5992,2697,2
4,3147,4464,3075,2
3,5834,7397,6798,7
5,7161,10503,7164,5
11,12278,12062,12677,15
6,3289,8600,273,0
